x,y,yaw
-1.4110294342041014,-0.5152986299991608,-2.7899267832590127
-1.8837795462373528,-0.6930857418751684,-2.788118614739428
-2.355897691655022,-0.8669457651687987,-2.7885175866705105
-2.8309930512581154,-1.045634372742739,-2.7879176096239213
-3.3067855082630686,-1.22288710095601,-2.811332712254538
-3.7814554139624468,-1.3858572679061107,-2.831822030424574
-4.260998228559611,-1.5359028048849115,-2.8415681966257345
-4.747987717469474,-1.6834176994694532,-2.8514077634628143
-5.236069305258498,-1.8334707937129524,-2.8567004024525215
-5.720983137108859,-1.9774496353446451,-2.84589774948398
-6.19826517782271,-2.135960101583014,-2.8251176837424357
-6.674139352257259,-2.3014795983629486,-2.8154349965508527
-7.155800373780798,-2.4716367019083614,-2.8138287999867537
-7.638988021449556,-2.640041267792635,-2.809134015673684
-8.120813731132777,-2.809893240592971,-2.808929445938256
-8.59840555545124,-2.985112611760572,-2.8040398513595384
-9.07901594768426,-3.156161741625081,-2.804638553716156
-9.5530457645962,-3.3216260100141604,-2.8085305812671706
-10.031850298619455,-3.4921876494620445,-2.8083326705715947
-10.51596744608876,-3.6661383177382882,-2.808345906131298
-10.993549353991211,-3.8276167199905147,-2.808745837442359
-11.46207178385844,-4.00312944919601,-2.822863556298795
-11.94282072966633,-4.147036094669058,-2.8612677951840184
-12.435569721411907,-4.2831904979415905,-2.876967905781101
-12.918733604662805,-4.41440647352243,-2.8703494836550494
-13.404701643142657,-4.561987263842718,-2.840261905409552
-13.88810990203901,-4.7195870495439936,-2.8267143366233602
-14.37359468779002,-4.890279653785736,-2.8146830348652694
-14.850279967798045,-5.052310278638148,-2.8128833196654965
-15.331232291797363,-5.219524713302798,-2.81074351024432
-15.81226702274934,-5.390308685998483,-2.8136310619677856
-16.28656987355434,-5.557563852280559,-2.74168704360464
-16.702801025667508,-5.853503990295475,-2.353402161364201
-16.975618135963202,-6.278408964618917,-1.885467713196433
-17.028004303743725,-6.787537676414267,-1.4997626930887673
-16.91474734141601,-7.289029191920956,-1.2510020098012011
-16.745765463291274,-7.772231880577072,-1.226898423550733
-16.566272600338106,-8.247717450717953,-1.2618369628098351
-16.4229644618172,-8.738048117091793,-1.3118427785865514
-16.29316556306668,-9.237701774937294,-1.3229314984467075
-16.17100931531256,-9.725933756161353,-1.328822939833031
-16.051721805630613,-10.21550981540712,-1.3307138501287736
-15.926761037807957,-10.703591308956726,-1.3150499161278946
-15.78554210812278,-11.184436256977948,-1.284869289566468
-15.63279137122286,-11.665853901219448,-1.270183773606705
-15.478695206192505,-12.150716488989552,-1.2644424433460304
-15.312759655431483,-12.635956239388795,-1.2597514997028731
-15.15635320307646,-13.112718158462329,-1.2589527661107258
-15.000509443788344,-13.590617726335696,-1.2558596981618542
-14.834715030311168,-14.068082681996465,-1.2558552082419536
-14.675029003382544,-14.553037502126859,-1.2560545169074988
-14.512327469530744,-15.041814272666644,-1.2554494222710246
-14.353768492361594,-15.521051899763387,-1.2591439120664536
-14.198705525269576,-15.997769212578298,-1.262834031911981
-14.035296099490694,-16.4844747700805,-1.2606858542909933
-13.86666118004492,-16.958365007246467,-1.1335876546109709
-13.573626558002628,-17.371878235730964,-0.7816983196750361
-13.128485478620197,-17.63815125953119,-0.31502357163180256
-12.613831564559444,-17.669734963142453,0.1813341931877565
-12.121508713153691,-17.516741378889318,0.32212786670174637
-11.642491607061817,-17.354693818404208,0.32923811594481045
-11.154636363555767,-17.199918769997662,0.2592927258556039
-10.665038534918974,-17.06011732804804,0.28115174411801186
-10.176873343569085,-16.90716573052394,0.29669567670958014
-9.686519985724164,-16.749630155855556,0.293384611611596
-9.200124757199639,-16.611611521118437,0.2537848402267209
-8.69963469940782,-16.482044609599118,0.23985582687303977
-8.211707874773722,-16.35875366834081,0.23725327837121352
-7.716885183467722,-16.239428702903776,0.23605572369798056
-7.211219366900316,-16.11022291210708,0.23645209497912112
-6.724378711127185,-15.99573531576946,0.2360526539280512
-6.219203263917926,-15.866621115401447,0.23584175913276612
-5.734414989112054,-15.74245568992579,0.23604018484833134
-5.245186198958459,-15.62754193765409,0.23643572682949016
-4.746646912927827,-15.496277563407423,0.23933112689278016
-4.257655983663836,-15.380752392953472,0.23524284336615245
-3.7648898724359414,-15.260737414389748,0.23698458396622504
-3.2663214012220485,-15.138886834388561,0.23388993190738747
-2.7660545486448003,-15.01274603691294,0.23174517005632211
-2.2687164138909086,-14.89608064525715,0.22999687708639527
-1.778576118052142,-14.775266086917465,0.23233898352304908
-1.27632407409837,-14.657733209829185,0.22825437097634052
-0.7876203689177039,-14.540057207990252,0.22945034627960884
-0.2617583145534894,-14.4113637899104,0.2362502284776192
0.23223509015999078,-14.286858562930117,0.24784970855834978
0.7324496706537338,-14.151547456152198,0.25224722342005806
1.2370223483157323,-14.017862796553743,0.2499584132132096
1.7252329397187296,-13.89559497675909,0.2507641167752011
2.227922389400735,-13.75814022779434,0.2513520497720598
2.713872300590881,-13.629282596771862,0.26389684668066415
3.183975003757855,-13.441219984144054,0.5012989037951949
3.5813076920046005,-13.11889968369327,0.8167295582664816
3.8713686976494666,-12.696777772901495,1.103071396123402
4.0074776813372335,-12.20619326763893,1.4165411496244502
4.002321755058061,-11.694940826571765,1.6929142275618914
3.9175853102352596,-11.187930238614253,1.7370164850588632
3.8302259735887567,-10.684975136428717,1.756399197081641
3.7161574026775313,-10.186193214778799,1.809888921557539
3.578141210744355,-9.683915152747156,1.849210766720889
3.4260359549939183,-9.192032335139455,1.8612297423152715
3.2888316799369424,-8.707778354709824,1.8130307979163482
3.1711158471046073,-8.211833799263282,1.797889357455785
3.0523091946103946,-7.7021284759448525,1.7996580009792411
2.9261432598065724,-7.200363169684688,1.8157053971315495
2.789730870232521,-6.707492250710201,1.83838107624873
2.653145345333492,-6.211394382786272,1.8405804611895713
2.5135301888939754,-5.724634895375354,1.8421776796638691
2.3657139342236997,-5.232584277197571,1.8456693456638356
2.2277062671087586,-4.743648789310315,1.8454696260182997
2.0850682234688698,-4.26362639173148,1.8456690034438437
1.9389896428980409,-3.7726051085342123,1.8476124718394058
1.799198809331739,-3.270387748803866,1.84761306142939
1.6505583249553801,-2.78593138105836,1.8509039491138404
1.515497144839518,-2.2879813984990487,1.848417685541403
1.3566849245863128,-1.802722740418761,2.018501934160201
1.0300921006009416,-1.4084555642103964,2.439733866789979
0.5948186056258606,-1.1520018240710321,2.7546256682813786
0.09732009463864699,-1.029526928936306,2.9947547670838257
-0.4041098350543928,-0.9891299068089789,-3.134043252171923
-0.9132201200153522,-1.0326529897806713,-2.98636809810125
-1.4172348607707215,-1.1514747144092439,-2.886518175953334
