x,y,yaw
-1.5308687342316376,-0.40138617492614054,-2.8329090742847556
-2.032227399473287,-0.5644044420251852,-2.826885988347906
-2.5088332961183495,-0.723902398622199,-2.82699344461337
-2.997645621514665,-0.8891721255375118,-2.8240426266966443
-3.47943245277038,-1.053448894890188,-2.822552642273075
-3.9566696256622604,-1.2190144653168717,-2.821755224990899
-4.434695637451869,-1.3806076465056092,-2.821160080183068
-4.9149307066297485,-1.5463861575852018,-2.820958114287582
-5.401644119402507,-1.711590197559168,-2.8225559681230012
-5.890423246835271,-1.8770229934480551,-2.8219522869964946
-6.372123863887547,-2.0379471604300976,-2.822253039435236
-6.860424391548082,-2.2080133264532122,-2.818764575875201
-7.34079805966603,-2.3664606833480826,-2.8208566722453123
-7.829144937069254,-2.5301243649718996,-2.822652288026451
-8.314933104387693,-2.691777537355576,-2.821054344951383
-8.79990872816881,-2.8560089890819738,-2.819659433711427
-9.27591874758686,-3.0240503980688835,-2.819356404572736
-9.764993482981819,-3.190472857578723,-2.820501679426141
-10.249370399035048,-3.3522660570249174,-2.8191629624470607
-10.74130541962051,-3.520230625087694,-2.819827010175916
-11.215459434281327,-3.6832283734469815,-2.8231129246104776
-11.703467145787165,-3.844316630359336,-2.819626611940395
-12.17614376429912,-4.008377864373507,-2.8172088161201265
-12.656408788169841,-4.173853265609144,-2.81788046928721
-13.144833203646117,-4.339302020463721,-2.817681532281657
-13.625861364889921,-4.501130990905549,-2.8196383592869236
-14.10886056783527,-4.66213267625577,-2.821387256616836
-14.584779579104335,-4.820824656914913,-2.819437243901418
-15.074187428950964,-4.9945262643632535,-2.817890639286983
-15.564329140440547,-5.160019526441847,-2.820705326806773
-16.055639489991893,-5.3267248626869454,-2.8205023872613095
-16.54273104962819,-5.498228881843269,-2.767419287433841
-16.989010794241704,-5.75617487674086,-2.4593834172642906
-17.314661256506287,-6.141413316338649,-2.112188153355996
-17.477014520615004,-6.627033323943664,-1.7198945152878602
-17.44867606851055,-7.12861598664819,-1.3271519012249091
-17.260770128506653,-7.603379337601064,-1.1894404605218418
-17.06164211988071,-8.06819969209122,-1.1684613296647464
-16.856291197367785,-8.53612840550307,-1.1559511572104528
-16.64559758832214,-8.994612284485983,-1.1491211110461046
-16.426564888387386,-9.455099231458831,-1.1471819379304455
-16.21882909186108,-9.913005328694922,-1.1564382965445472
-16.029674346693994,-10.389998201745303,-1.2573990247387672
-15.869546004268459,-10.885536692326973,-1.2747946809799433
-15.72555091259319,-11.367920827814158,-1.2847379017267007
-15.578633499896174,-11.867980733953376,-1.2934127201367882
-15.438744728074878,-12.357170215506581,-1.2950888351346281
-15.293769748189426,-12.836072501081105,-1.283093514112744
-15.144599326605924,-13.316363899879166,-1.2735473275671143
-14.970739721241966,-13.842011172720323,-1.2575681258082625
-14.807281518106153,-14.330898700958588,-1.2522208445787792
-14.641627357814778,-14.828073339860126,-1.2520268142131161
-14.474546679145982,-15.316093349683118,-1.2505218194384287
-14.307212578957103,-15.798746777211969,-1.2498519769980962
-14.15024948382152,-16.281829698443328,-1.2514714995578085
-13.985933587645603,-16.760171201614455,-1.2365637729338586
-13.75649485941451,-17.211594582685535,-0.9632982774111157
-13.394903468107247,-17.564936449060223,-0.6336137385313991
-12.941740427909997,-17.79759039612338,-0.2987668001597457
-12.440629180202999,-17.84859306068719,0.04742757678078941
-11.942440032972772,-17.724283474485482,0.40347119638546686
-11.49578914513706,-17.497775234652295,0.48595895786416066
-11.04145631059782,-17.246277583494724,0.5009575705089174
-10.60720272291203,-16.989903031200463,0.48399102192519333
-10.145521456863168,-16.779727227134728,0.352414239438431
-9.666741154955169,-16.607964401005425,0.3287176251900839
-9.185415469738121,-16.447362838953552,0.3124734024261603
-8.704748374429164,-16.292683122377095,0.30390781246430276
-8.207241379489624,-16.133952750500473,0.3020991498847304
-7.70680200185929,-15.971828026706111,0.29995718066360316
-7.208223043615451,-15.811791843475678,0.29988057101000903
-6.730389924988723,-15.658316645204806,0.3016216194300973
-6.229754021606366,-15.495675985142714,0.30403786540039934
-5.748015434806927,-15.341455241197611,0.3039091169185832
-5.257799986112131,-15.18151145036998,0.305381698197763
-4.77546926228231,-15.02607707962543,0.3055821439532828
-4.290149247483062,-14.87163078768996,0.304978958036765
-3.804351556990067,-14.707113273418777,0.30585181977095227
-3.305926878994181,-14.548988898452821,0.30625492947194155
-2.816467649012871,-14.392660201249402,0.30270672224224443
-2.3327141591964944,-14.237037564677674,0.30183745914476473
-1.833897290137653,-14.076364602904178,0.3035807893048026
-1.331776933295472,-13.913259827175077,0.3035074774211357
-0.8491650683778262,-13.761607429100259,0.30551989605885627
-0.36246317832814867,-13.604301431324771,0.30067862100005677
0.11760440917551307,-13.452673038735481,0.2994044743664412
0.602793626173268,-13.300656564686697,0.3036983260584734
1.082306284479376,-13.144166626915299,0.30215150487404446
1.5636985191403667,-12.992171216289929,0.30008121559822387
2.0426980440659923,-12.838700940926179,0.2989378216163838
2.52248190467437,-12.68703776064117,0.30028051494179153
3.016238183262386,-12.538182200200914,0.3027186518455898
3.4969946691326452,-12.32330134456569,0.5726199579535333
3.8803019388634956,-11.967695166783143,0.8897117369862885
4.11901898596739,-11.528227778894706,1.2319922802565486
4.185023691947263,-11.022565251041755,1.6061418013845292
4.057730423081994,-10.521304516250803,1.9043741557788507
3.8710268418666995,-10.024001273444533,1.9050708156612846
3.7121378296461476,-9.542188709862199,1.8911387789563896
3.5442767498188923,-9.03599161671727,1.878981380326421
3.3850844594506295,-8.546300843784005,1.877260920720182
3.2286286723087656,-8.049273502360178,1.872302879617691
3.059224523652338,-7.547824219347728,1.8745233913523685
2.896170799973657,-7.043827592112809,1.8745248523123357
2.7434407148466793,-6.561120170739702,1.8752014571725164
2.587458560062478,-6.079287394996049,1.876404105475634
2.4305401691806203,-5.5911652399406995,1.8765493750113937
2.2737625154881282,-5.099315044092295,1.8764777743292966
2.1073754976767454,-4.604850988328058,1.8778179417283452
1.9440758326581014,-4.097251657126018,1.875204269044064
1.789735206491958,-3.605430089539138,1.8758125986004677
1.6268041734042056,-3.0992301235987814,1.874135004504263
1.4730909798999203,-2.6217998737686403,1.8801430772714511
1.3126084618120304,-2.117832279138188,1.8787735067875244
1.1498895002811986,-1.625666696886153,1.880241795240011
0.9859754194471,-1.1260838820157495,1.8811079822959553
0.8319767754861331,-0.6474528956618586,1.8805137492792392
