x,y,yaw
5.4571126937866214,-2.182857313156126,-1.5614800794376422
5.45063574275691,-2.493781532922009,-1.557988266637684
5.4448642312874584,-2.809418282902201,-1.559154583686154
5.43834263807101,-3.1097087325998247,-1.5587591318349938
5.431972719002514,-3.427865066592731,-1.5591572276460954
5.4256067575136,-3.7334012706846584,-1.5591641867659396
5.418921306611725,-4.035585363047552,-1.5580012103773972
5.405774303970855,-4.34341690819831,-1.5582054242728343
5.400079938808531,-4.65671418244368,-1.5566401695488898
5.393922896063772,-4.967004215614069,-1.5584389784510106
5.387275972836586,-5.283754662641365,-1.5618941686332037
5.379967694162826,-5.605621744880631,-1.5624651213749792
5.373389795978208,-5.918528095726656,-1.5614978388976686
5.360334921512209,-6.240981402307564,-1.5651834393532966
5.347167403936389,-6.54636016461829,-1.5653848713887966
5.3388634212192985,-6.859052223308813,-1.5671209460634596
5.330159679527624,-7.178261295099966,-1.5665243048399866
5.321944671696728,-7.4781776854116115,-1.56615904722922
5.313197361316796,-7.800212541378395,-1.5684822820307605
5.300989208224918,-8.10487312335541,-1.5657575689225858
5.292462398680493,-8.410208615063357,-1.5663579881391638
5.28340412108497,-8.712380625716769,-1.566727575549835
5.2741182854012205,-9.014598543293662,-1.5671262377453141
5.268290569632132,-9.329482677565817,-1.5653617744002144
5.255603553976183,-9.63411320044752,-1.5700132120587924
5.242903188193453,-9.958490037136423,-1.57021108073437
5.236706968813692,-10.27298475512588,-1.5686476441847779
