x,y,yaw
2.93435,3.7264500000000007,-1.5464849999999997
2.937374906748107,3.2058552650968384,-1.5458858118533927
2.9289433712751625,2.6786389701554416,-1.5503766251410231
2.9286761624344457,2.1784860742348906,-1.5505763646665582
2.916569297510459,1.6536594630206478,-1.55326724275442
2.906751644939191,1.1294449261350379,-1.5431554248984443
2.939083171034971,0.6169628756239534,-1.2737598666360794
3.1625045247649632,0.13692314744112588,-0.8277168376052494
3.5433608566646053,-0.1915420683611111,-0.290349716220555
4.056987144503938,-0.2962212540788709,0.05535440236988471
4.580436728869053,-0.22701842433877317,0.35058312558580057
5.0441290928906835,0.020979997062418487,0.8241164992340075
5.3594072982056336,0.41538683054396097,1.118202196770818
5.550853528919295,0.918204401940669,1.4222165586012352
5.633505366671646,1.4198298540633967,1.4801552927745432
5.675166319792217,1.9505103851242835,1.6254349792431426
5.655928915369373,2.4851025987191466,1.6457397329385544
5.636120147774678,3.026620399220643,1.638629681761006
5.634240058751424,3.5392044602064545,1.6015374386686114
5.639257106460879,4.048246680857696,1.5813962052997996
5.659021218086758,4.5654658638949845,1.5638163158467266
5.6816225945315555,5.086500554210597,1.572216256148974
5.68506678710225,5.600934739060703,1.5911082483747134
5.690532649645261,6.130202105277666,1.604998296562254
5.686404345194971,6.662816601037962,1.6166341373391853
5.683069185029889,7.188961187731898,1.6164887109834325
5.669134206309656,7.693602590962298,1.6166907670589152
5.667616236328968,8.224554496664751,1.6174885402910844
5.664560080923197,8.749106428923426,1.6223219184200621
5.65757295718788,9.278235018705558,1.6231152027623301
5.642198048509366,9.79843952585449,1.6184256934891417
5.6401898874882415,10.34069192007957,1.607514131251042
5.647799218140683,10.855631812521345,1.5900415122375626
5.66342675054238,11.394446990256522,1.584745209147937
5.684849460396128,11.935480183840244,1.5796524826237608
5.698212763802629,12.465595459276706,1.587032296284823
5.704998637634905,12.975913239239432,1.5870276872349265
5.718246942409039,13.496609374596924,1.5825373189872862
5.725857964386255,14.017221238293017,1.5852829085949214
5.738347888260282,14.547780296249854,1.5854815433304823
5.7611294943740425,15.092545003171061,1.5829352079283925
5.764408941643218,15.607626612802257,1.584134297081589
5.7775288967737355,16.118813020683895,1.582937523288341
5.791770259895482,16.639562654799377,1.5812484937780855
5.80697754994842,17.161072251958018,1.5817929181749202
5.820307740777961,17.680249736173774,1.6093953057559804
5.736674809123425,18.18344648069423,1.9769019246048136
5.455073499643785,18.64705937483697,2.4321322826695337
5.013936228172502,18.959315786419808,2.774963345218209
4.529921973448332,19.10403840480898,3.0201262529309174
4.020136516873997,19.16742959626432,3.1193577665620302
